"FIPS","x","y","caves","WNS","tau"
54013,1275062.582549,249929.8949,0,Inf,219.6666667
54015,1284569.121311,208824.612065,0,Inf,211
54017,1301851.181752,303105.449868,0,Inf,229.3333333
54019,1291251.597072,160424.613014,1,5,217.3076923
54021,1296015.810528,264533.819823,0,Inf,220.2857143
54023,1431454.48728,306947.735462,19,5,251.375
54025,1346427.000137,160470.543329,415,4,233.9130435
54027,1476971.856676,339052.328715,3,Inf,227.6923077
54029,1289917.844795,442412.299062,0,Inf,216.5
54031,1462402.980169,299889.896166,13,4,242.7692308
54033,1329094.963009,308818.028709,0,Inf,222.75
54035,1227710.023138,242962.181331,0,Inf,223.3333333
54037,1540376.025461,349380.395709,24,4,224
54039,1247034.835309,189612.616229,0,Inf,207.2105263
54041,1324529.553155,276115.686383,0,Inf,222.6666667
54043,1204958.501004,163072.494124,0,Inf,202.2222222
54045,1222231.731,127837.925805,0,Inf,202.1
54047,1253111.513999,80693.15224,0,Inf,210.3636364
54049,1336639.067015,336035.194813,0,Inf,232.5714286
54051,1295012.322247,369725.924874,0,Inf,229.3333333
54053,1199131.812495,230837.534414,0,Inf,214.3333333
54055,1299687.855055,90684.913515,67,4,206
54057,1445726.87359,342729.434282,0,Inf,243.1666667
54059,1206207.527595,112756.266724,0,Inf,197.25
54061,1350421.36489,352464.416023,10,Inf,220.7142857
54063,1345894.358034,116904.899297,132,4,230.125
54065,1502408.979957,371415.551559,0,Inf,220
54067,1311428.800278,193282.88195,0,Inf,218.5454545
54069,1294228.785143,396034.096908,0,Inf,218.75
54071,1427331.691881,257836.070005,106,3,238.25
54073,1259229.805645,306757.028339,0,Inf,215
54075,1378727.738654,209537.286502,291,4,252.9047619
54077,1385446.7865,339972.133049,29,Inf,214.0769231
54079,1211647.538829,205451.221572,0,Inf,213
54081,1284524.379655,128727.482097,0,Inf,222
54083,1380840.544633,260116.004604,146,5,235.7
54085,1273990.158442,288698.623446,0,Inf,218.2857143
54087,1257522.059835,233024.614356,0,Inf,219.125
54089,1317155.954376,122006.658786,0,Inf,211.1666667
54091,1356465.293527,321500.378831,0,Inf,225.3333333
54093,1400835.595899,302078.601975,56,5,248.7142857
54095,1282360.195281,320568.881792,0,Inf,231.2857143
54097,1347905.739944,267379.040984,0,Inf,229.8333333
54099,1173536.639086,156649.634123,0,Inf,173.8
54101,1339670.390222,221990.288823,0,Inf,223.9090909
54103,1301288.38931,341257.345198,0,Inf,243
54105,1250480.459985,267425.971303,0,Inf,204.25
54107,1234734.210936,286171.338235,0,Inf,199
54109,1259051.573325,107915.579841,0,Inf,215.0909091
55001,497159.85821,740628.871291,0,Inf,255.3076923
55003,411133.598027,990444.011564,0,Inf,284.952381
55005,324311.713372,893555.482066,0,Inf,267.1666667
55007,369126.510004,1016880.371986,1,Inf,277.2758621
55009,634029.085109,804649.801688,4,Inf,252.6363636
55011,336870.53442,776668.176645,0,Inf,245.3076923
55013,282030.847902,940403.613366,0,Inf,266.5882353
55015,620475.384737,761235.038349,3,Inf,250.6666667
55017,370622.780642,856149.306625,0,Inf,264.9
55019,425480.112237,821099.932528,0,Inf,269.9166667
55021,536709.366092,686733.570581,7,Inf,250.7222222
55023,409619.583734,653278.866084,10,Inf,238.75
55025,532650.053945,641773.650319,15,Inf,238.2857143
55027,587168.268335,684897.049109,1,Inf,247.625
55029,682234.089325,861996.857268,12,Inf,258.5555556
55031,314575.346413,1004732.000239,0,Inf,275.4615385
55033,323055.136361,839973.379709,1,Inf,256.3125
55035,372539.127775,817777.305587,0,Inf,259.6
55037,590770.315242,956512.730489,0,Inf,289.9090909
55039,601334.348686,723330.191882,4,Inf,245.5882353
55041,563060.773329,934857.976647,0,Inf,285.7
55043,429627.41506,612591.764434,5,Inf,236.9583333
55045,520724.297561,597345.84469,4,Inf,242.7777778
55047,556776.719132,725531.252461,0,Inf,255.5
55049,475566.395618,630511.203678,0,Inf,240.125
55051,444890.555969,992084.978131,0,Inf,285.5384615
55053,413214.951554,774175.445653,0,Inf,263.8888889
55055,585165.79625,640460.584462,0,Inf,241.8
55057,470217.850673,733185.046501,2,Inf,256.1538462
55059,648920.540564,595848.487971,0,Inf,242.6
55061,663988.660873,814378.766527,0,Inf,255
55063,390527.657818,727200.923086,7,Inf,238
55065,477882.720413,592680.311484,4,Inf,246.0833333
55067,542446.693704,887174.366509,0,Inf,287.2941176
55069,490560.802842,892653.273222,0,Inf,272.6875
55071,652597.194467,769121.307918,4,Inf,251
55073,491224.956496,843258.613517,0,Inf,271.5483871
55075,622950.295595,908556.9413,0,Inf,273.8846154
55077,528311.283331,725866.937982,0,Inf,252.5714286
55078,573453.586902,861422.706399,0,Inf,277.4
55079,650924.438702,644298.828807,0,Inf,234.75
55081,430181.495764,733786.714957,0,Inf,251.4117647
55083,607065.168615,867983.2057,0,Inf,279.0434783
55085,504355.919533,934443.320709,0,Inf,278
55087,597855.050343,797585.366711,0,Inf,252.1666667
55089,648150.211774,686271.049097,0,Inf,244.75
55091,314652.234547,799465.21046,0,Inf,247.3333333
55093,281414.623084,814145.708641,5,Inf,245.3
55095,278107.703482,895487.039364,0,Inf,254.8235294
55097,515312.53683,798176.447816,0,Inf,258.1111111
55099,439269.178852,927571.392946,0,Inf,271.4074074
