"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"100",35,1.75,0.25,0.01,0,0,6.48000533684871e-31,1.51024883449538e-29,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"101",60,1.75,0.25,0.01,0,0,6.47428450834626e-50,2.43381330852205e-48,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"102",85,1.75,0.25,0.01,0,0,6.46856873043842e-69,3.35574588025259e-67,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"103",110,1.75,0.25,0.01,0,0,6.46285799866602e-88,4.27604871127744e-86,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"104",135,1.75,0.25,0.01,0,0,6.45715230857436e-107,5.19472396064211e-105,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"105",160,1.75,0.25,0.01,0,0,6.4514516557122e-126,6.11177378485004e-124,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"106",10,2,0.25,0.01,0,0,1.42580295660844e-13,1.12776411950948e-12,-0.671863651303984,15.1679017728032,-42.8779997700567,26.2134089049871
"107",35,2,0.25,0.01,0,0,2.75001723578505e-35,5.61269641877447e-34,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"108",60,2,0.25,0.01,0,0,5.30409532541846e-57,1.74556065211518e-55,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"109",85,2,0.25,0.01,0,0,1.02302730524869e-78,4.64553397393984e-77,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"110",110,2,0.25,0.01,0,0,1.97316375946138e-100,1.14265276452743e-98,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"111",135,2,0.25,0.01,0,0,3.80573930106903e-122,2.67960875849154e-120,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"112",160,2,0.25,0.01,0,0,7.34031909832744e-144,6.08583487283424e-142,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"113",10,2.25,0.25,0.01,0,0,3.06492073750489e-15,2.15774665022283e-14,-0.671863651304056,15.1679017728033,-42.8779997700567,26.2134089049871
"114",35,2.25,0.25,0.01,0,0,1.1411812845114e-39,2.07138663536467e-38,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"115",60,2.25,0.25,0.01,0,0,4.24903230998162e-64,1.24336716200943e-62,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"116",85,2.25,0.25,0.01,0,0,1.58206902061122e-88,6.38736190516725e-87,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"117",110,2.25,0.25,0.01,0,0,5.89061744740757e-113,3.03275982600938e-111,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"118",135,2.25,0.25,0.01,0,0,2.19329077680178e-137,1.37290558452919e-135,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"119",160,2.25,0.25,0.01,0,0,8.16641799361918e-162,6.01920580015007e-160,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"120",10,2.5,0.25,0.01,0,0,6.48023874277073e-17,4.10922010251001e-16,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"121",35,2.5,0.25,0.01,0,0,4.65785417000432e-44,7.61147189146472e-43,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"122",60,2.5,0.25,0.01,0,0,3.34796391463666e-71,8.81892378152113e-70,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"123",85,2.5,0.25,0.01,0,0,2.40644338886602e-98,8.74529332036495e-97,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"124",110,2.5,0.25,0.01,0,0,1.72969898465755e-125,8.01562494774269e-124,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"125",135,2.5,0.25,0.01,0,0,1.24326987759935e-152,7.00472614025402e-151,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"126",160,2.5,0.25,0.01,0,0,8.93635252293339e-180,5.92847951609742e-178,-0.671863651304101,15.1679017728032,-42.8779997700567,26.2134089049872
"127",10,0.5,0.5,0.01,0,0,0.000411475212454045,0.0120515462054366,-0.591771001975585,15.0971648926742,-42.8322414091556,26.5269047014212
"128",35,0.5,0.5,0.01,0,0,1.53335164424093e-09,1.2157727745433e-07,-0.592233949855791,15.0964336443077,-42.832261384984,26.5266770132833
"129",60,0.5,0.5,0.01,0,0,5.71426976789808e-15,7.38789834990474e-13,-0.592233951581314,15.0964336415789,-42.8322613850584,26.5266770124343
"130",85,0.5,0.5,0.01,0,0,2.12951015566516e-20,3.81796855989932e-18,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"131",110,0.5,0.5,0.01,0,0,7.93594577658298e-26,1.8196217532937e-23,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"132",135,0.5,0.5,0.01,0,0,2.95745175017472e-31,8.25982505398263e-29,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"133",160,0.5,0.5,0.01,0,0,1.10213969460587e-36,3.62922017112681e-34,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"134",10,0.75,0.5,0.01,0,0,1.45760137318211e-05,0.00029608044952598,-0.592223015896603,15.0964509274774,-42.8322609245862,26.5266825112582
"135",35,0.75,0.5,0.01,0,0,1.04861690012938e-13,5.62542987937588e-12,-0.592233951581238,15.096433641579,-42.8322613850584,26.5266770124342
"136",60,0.75,0.5,0.01,0,0,7.54388947737823e-22,6.56163891629266e-20,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"137",85,0.75,0.5,0.01,0,0,5.42717444663307e-30,6.52958847495439e-28,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"138",110,0.75,0.5,0.01,0,0,3.90438149478611e-38,5.99893331047225e-36,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"139",135,0.75,0.5,0.01,0,0,2.8088639874632e-46,5.25200042337977e-44,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"140",160,0.75,0.5,0.01,0,0,2.02073411899004e-54,4.45193701177527e-52,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
"141",10,1,0.5,0.01,0,0,4.15207908742367e-07,6.43717130047482e-06,-0.592233717891043,15.0964340112263,-42.832261375552,26.5266771321326
"142",35,1,0.5,0.01,0,0,5.76638404647518e-18,2.33558673507864e-16,-0.592233951581421,15.0964336415787,-42.8322613850584,26.5266770124342
