"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"386",10,0.75,0.25,1.01,0,0,6.93662136486616e-06,0.000140319721712027,-0.638317573372948,24.3189826159903,-79.5974816368331,21.9316865344928
"387",35,0.75,0.25,1.01,0,0,4.99029279336579e-14,2.67290864979771e-12,-0.638322528926817,24.3189739511825,-79.5974820789481,21.9316836999865
"388",60,0.75,0.25,1.01,0,0,3.59008302157469e-22,3.11962038098007e-20,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"389",85,0.75,0.25,1.01,0,0,2.58275348471203e-30,3.10521423072585e-28,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"390",110,0.75,0.25,1.01,0,0,1.85806721535555e-38,2.85328816480197e-36,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"391",135,0.75,0.25,1.01,0,0,1.33671827265537e-46,2.4982662206956e-44,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"392",160,0.75,0.25,1.01,0,0,9.61652907754953e-55,2.11783692293692e-52,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"393",10,1,0.25,1.01,0,0,2.00950943843836e-07,3.10104540718846e-06,-0.638322421321894,24.318974139392,-79.5974820696377,21.9316837643466
"394",35,1,0.25,1.01,0,0,2.79079538328281e-18,1.12837028406315e-16,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"395",60,1,0.25,1.01,0,0,3.87584096216327e-29,2.53603455693701e-27,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"396",85,1,0.25,1.01,0,0,5.38274617120518e-40,4.86771709943634e-38,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"397",110,1,0.25,1.01,0,0,7.4755276665047e-51,8.6291400993759e-49,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"398",135,1,0.25,1.01,0,0,1.03819708593404e-61,1.45795940451395e-59,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"399",160,1,0.25,1.01,0,0,1.4418422850221e-72,2.38526640798412e-70,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"400",10,1.25,0.25,1.01,0,0,5.20428923131029e-09,6.48183914410522e-08,-0.638322526699247,24.3189739550834,-79.597482078762,21.9316837013777
"401",35,1.25,0.25,1.01,0,0,1.39527195549572e-22,4.52832749213549e-21,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"402",60,1.25,0.25,1.01,0,0,3.74072950929148e-36,1.96219225395806e-34,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"403",85,1.25,0.25,1.01,0,0,1.0028910282736e-49,7.26642707874039e-48,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"404",110,1.25,0.25,1.01,0,0,2.6887547257652e-63,2.48588285545875e-61,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"405",135,1.25,0.25,1.01,0,0,7.20856181929295e-77,8.10637391419603e-75,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"406",160,1.25,0.25,1.01,0,0,1.93261821186685e-90,2.55984562413786e-88,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"407",10,1.5,0.25,1.01,0,0,1.26072174723057e-10,1.31503266812978e-09,-0.638322528882306,24.318973951264,-79.5974820789446,21.9316837000162
"408",35,1.5,0.25,1.01,0,0,6.52493474978368e-27,1.76809151579504e-25,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"409",60,1.5,0.25,1.01,0,0,3.37701587067735e-43,1.47792146797509e-41,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"410",85,1.5,0.25,1.01,0,0,1.74779313941565e-59,1.05620524174535e-57,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"411",110,1.5,0.25,1.01,0,0,9.04579953180879e-76,6.9740815813708e-74,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"412",135,1.5,0.25,1.01,0,0,4.68170330483342e-92,4.38975816807229e-90,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"413",160,1.5,0.25,1.01,0,0,2.42304129750091e-108,2.67578370235273e-106,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"414",10,1.75,0.25,1.01,0,0,2.92485017492894e-12,2.62266081080331e-11,-0.638322528926085,24.3189739511847,-79.5974820789481,21.9316836999871
"415",35,1.75,0.25,1.01,0,0,2.92226799090651e-31,6.7950139710371e-30,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"416",60,1.75,0.25,1.01,0,0,2.91968808654765e-50,1.09599980200937e-48,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"417",85,1.75,0.25,1.01,0,0,2.91711045983979e-69,1.51176227175295e-67,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"418",110,1.75,0.25,1.01,0,0,2.91453510877214e-88,1.92678978114123e-86,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"419",135,1.75,0.25,1.01,0,0,2.91196203133552e-107,2.34108330383343e-105,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"420",160,1.75,0.25,1.01,0,0,2.90939122552287e-126,2.75464381234229e-124,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"421",10,2,0.25,1.01,0,0,6.58827059019415e-14,5.17800801263028e-13,-0.638322528926815,24.3189739511825,-79.5974820789481,21.9316836999865
"422",35,2,0.25,1.01,0,0,1.2707125899182e-35,2.58709895410941e-34,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"423",60,2,0.25,1.01,0,0,2.45088671461056e-57,8.05347510766941e-56,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"424",85,2,0.25,1.01,0,0,4.72714737818197e-79,2.14420731122259e-77,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"425",110,2,0.25,1.01,0,0,9.11748478697118e-101,5.27532512389507e-99,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"426",135,2,0.25,1.01,0,0,1.75853473966843e-122,1.23729509552585e-120,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"427",160,2,0.25,1.01,0,0,3.3917736117747e-144,2.81040442885384e-142,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"428",10,2.25,0.25,1.01,0,0,1.45332057551577e-15,1.01629345800962e-14,-0.63832252892684,24.3189739511825,-79.5974820789481,21.9316836999865
"429",35,2.25,0.25,1.01,0,0,5.41124023495674e-40,9.79651873238126e-39,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
"430",60,2.25,0.25,1.01,0,0,2.01480123337705e-64,5.88626769405409e-63,-0.638322528926838,24.3189739511825,-79.5974820789481,21.9316836999865
