"","a","dist","rho","theta","loglikelhood"
"339","0.1","45","0.7","1",-1326.1517646556
"340","0.1","45","0.7","1.2",-1326.48946245561
"341","0.1","45","0.7","1.4",-1326.68530289216
"342","0.1","45","0.7","1.6",-1326.79593188155
"343","0.1","45","0.7","1.8",-1326.85741122433
"344","0.1","45","0.7","2",-1326.89121803724
"345","0.1","45","0.8","0.6",-1326.55042104995
"346","0.1","45","0.8","0.8",-1327.19869702906
"347","0.1","45","0.8","1",-1327.62823738544
"348","0.1","45","0.8","1.2",-1327.88930458196
"349","0.1","45","0.8","1.4",-1328.04101519869
"350","0.1","45","0.8","1.6",-1328.12689507834
"351","0.1","45","0.8","1.8",-1328.17472173238
"352","0.1","45","0.8","2",-1328.20107708749
"353","0.1","45","0.9","0.6",-1330.41782716139
"354","0.1","45","0.9","0.8",-1330.80591500737
"355","0.1","45","0.9","1",-1331.06381540706
"356","0.1","45","0.9","1.2",-1331.22102126725
"357","0.1","45","0.9","1.4",-1331.31265220397
"358","0.1","45","0.9","1.6",-1331.36468281512
"359","0.1","45","0.9","1.8",-1331.39374974378
"360","0.1","45","0.9","2",-1331.4098179943
"361","0.1","55","0.1","0.6",-1326.14250305722
"362","0.1","55","0.1","0.8",-1327.52022779941
"363","0.1","55","0.1","1",-1328.3854265981
"364","0.1","55","0.1","1.2",-1328.88551583443
"365","0.1","55","0.1","1.4",-1329.16222025968
"366","0.1","55","0.1","1.6",-1329.31144637555
"367","0.1","55","0.1","1.8",-1329.39064762287
"368","0.1","55","0.1","2",-1329.43225339158
"369","0.1","55","0.2","0.6",-1325.38228522967
"370","0.1","55","0.2","0.8",-1326.69393021162
"371","0.1","55","0.2","1",-1327.51790262672
"372","0.1","55","0.2","1.2",-1327.99432366339
"373","0.1","55","0.2","1.4",-1328.25802355754
"374","0.1","55","0.2","1.6",-1328.40028582443
"375","0.1","55","0.2","1.8",-1328.47581667222
"376","0.1","55","0.2","2",-1328.51550727129
"377","0.1","55","0.3","0.6",-1324.76232506507
"378","0.1","55","0.3","0.8",-1325.99962044761
"379","0.1","55","0.3","1",-1326.77727092011
"380","0.1","55","0.3","1.2",-1327.2271331011
"381","0.1","55","0.3","1.4",-1327.4762596065
"382","0.1","55","0.3","1.6",-1327.61072854436
"383","0.1","55","0.3","1.8",-1327.68215787192
"384","0.1","55","0.3","2",-1327.71971189733
"385","0.1","55","0.4","0.6",-1324.31863633531
"386","0.1","55","0.4","0.8",-1325.47093151053
"387","0.1","55","0.4","1",-1326.19564274741
"388","0.1","55","0.4","1.2",-1326.61516135479
"389","0.1","55","0.4","1.4",-1326.84764278298
"390","0.1","55","0.4","1.6",-1326.97321376606
"391","0.1","55","0.4","1.8",-1327.03996220256
"392","0.1","55","0.4","2",-1327.07507907855
"393","0.1","55","0.5","0.6",-1324.11651802977
"394","0.1","55","0.5","0.8",-1325.16990786007
"395","0.1","55","0.5","1",-1325.83299184958
"396","0.1","55","0.5","1.2",-1326.2171700233
"397","0.1","55","0.5","1.4",-1326.43025617592
"398","0.1","55","0.5","1.6",-1326.54545414926
"399","0.1","55","0.5","1.8",-1326.60674370276
"400","0.1","55","0.5","2",-1326.63901740843
"401","0.1","55","0.6","0.6",-1324.27217173761
"402","0.1","55","0.6","0.8",-1325.20800992346
"403","0.1","55","0.6","1",-1325.79776142296
"404","0.1","55","0.6","1.2",-1326.13983692094
"405","0.1","55","0.6","1.4",-1326.32978863388
"406","0.1","55","0.6","1.6",-1326.43259916616
"407","0.1","55","0.6","1.8",-1326.48736198763
"408","0.1","55","0.6","2",-1326.5162324685
"409","0.1","55","0.7","0.6",-1325.00138415837
"410","0.1","55","0.7","0.8",-1325.79363798928
"411","0.1","55","0.7","1",-1326.29364181255
"412","0.1","55","0.7","1.2",-1326.58408956956
"413","0.1","55","0.7","1.4",-1326.74561677196
"414","0.1","55","0.7","1.6",-1326.83317685714
"415","0.1","55","0.7","1.8",-1326.87988861367
"416","0.1","55","0.7","2",-1326.90455265196
"417","0.1","55","0.8","0.6",-1326.74231041039
"418","0.1","55","0.8","0.8",-1327.35242082216
"419","0.1","55","0.8","1",-1327.738239294
"420","0.1","55","0.8","1.2",-1327.9628108097
"421","0.1","55","0.8","1.4",-1328.0879605401
"422","0.1","55","0.8","1.6",-1328.15594440219
"423","0.1","55","0.8","1.8",-1328.1922895582
"424","0.1","55","0.8","2",-1328.21152112978
"425","0.1","55","0.9","0.6",-1330.53332584431
"426","0.1","55","0.9","0.8",-1330.89864678053
"427","0.1","55","0.9","1",-1331.13034149294
"428","0.1","55","0.9","1.2",-1331.26560013647
"429","0.1","55","0.9","1.4",-1331.34120706078
"430","0.1","55","0.9","1.6",-1331.38240622269
"431","0.1","55","0.9","1.8",-1331.4045014211
