"","county","year","shareduserfoi","incidence","previousyear","previnf"
"507","Blanco-Texas","2009",7.61192638490784e-05,0,0,0
"508","Blanco-Texas","2010",1.79293953081265e-05,0,0,7.61192638490784e-05
"509","Blanco-Texas","2011",0.000176700233528874,0,0,1.79293953081265e-05
"510","Blanco-Texas","2012",1.87513162703002,0,0,0.000176700233528874
"511","Blanco-Texas","2013",1.40676022048072,0,0,1.87513162703002
"512","Blanco-Texas","2014",0.469856516061331,0,0,1.40676022048072
"513","Blanco-Texas","2015",0.00116746575445428,0,0,0.469856516061331
"514","Blanco-Texas","2016",0.00328956873701071,0,0,0.00116746575445428
"515","Blanco-Texas","2017",0.00741737222135845,1,0,0.00328956873701071
"517","Bland-Virginia","2007",0,0,0,0.714816277107988
"518","Bland-Virginia","2008",0,1,0,0
"529","Blount-Alabama","2007",0,0,0,0.699443810204333
"530","Blount-Alabama","2008",0,0,0,0
"531","Blount-Alabama","2009",0.0486064656522321,0,0,0
"532","Blount-Alabama","2010",0.00128632505543945,0,0,0.0486064656522321
"533","Blount-Alabama","2011",0.0746982255374141,0,0,0.00128632505543945
"534","Blount-Alabama","2012",0.104208231259422,0,0,0.0746982255374141
"535","Blount-Alabama","2013",0.309711796551802,0,0,0.104208231259422
"536","Blount-Alabama","2014",0.590330294477226,0,0,0.309711796551802
"537","Blount-Alabama","2015",0.432011934855406,0,0,0.590330294477226
"538","Blount-Alabama","2016",0.643294032070229,1,0,0.432011934855406
"541","Blount-Tennessee","2007",0,0,0,0.36651166067864
"542","Blount-Tennessee","2008",0,0,0,0
"543","Blount-Tennessee","2009",0.0207582881768406,0,0,0
"544","Blount-Tennessee","2010",0.00284165935021942,0,0,0.0207582881768406
"545","Blount-Tennessee","2011",0.310705454854239,1,0,0.00284165935021942
"553","Boone-Arkansas","2007",0,0,0,0.653812061939179
"554","Boone-Arkansas","2008",0,0,0,0
"555","Boone-Arkansas","2009",0.00106519475628086,0,0,0
"556","Boone-Arkansas","2010",0.000628398279064496,0,0,0.00106519475628086
"557","Boone-Arkansas","2011",0.0114013665145552,0,0,0.000628398279064496
"558","Boone-Arkansas","2012",0.00684751885073155,0,0,0.0114013665145552
"559","Boone-Arkansas","2013",0.0133659411173436,0,0,0.00684751885073155
