"","year","county1","county2","num.shared","incidence","date","inf.counties"
"205","2013-01-01","York County","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"206","2013-01-01","York County","Halton Regional Municipality",1,0,2013-01-01,474
"207","2013-01-01","York County","Oxford",1,0,2013-01-01,474
"208","2013-01-01","York County","Saint John County",1,0,2013-01-01,474
"209","2013-01-01","York County","Roanoke",1,0,2013-01-01,474
"210","2013-01-01","York County","Crawford",1,0,2013-01-01,474
"211","2013-01-01","York County","Monroe",1,0,2013-01-01,474
"212","2013-01-01","York County","Montgomery",1,0,2013-01-01,474
"213","2013-01-01","York County","Smyth",1,0,2013-01-01,474
"214","2013-01-01","York County","Luzerne",1,0,2013-01-01,474
"215","2013-01-01","York County","Centre",1,0,2013-01-01,474
"216","2013-01-01","York County","Putnam",1,0,2013-01-01,474
"217","2013-01-01","York County","Giles",1,0,2013-01-01,474
"218","2013-01-01","York County","Hartford",1,0,2013-01-01,474
"219","2013-01-01","York County","Hamilton",1,0,2013-01-01,474
"220","2013-01-01","York County","Morris",1,0,2013-01-01,474
"221","2013-01-01","York County","Orange",1,0,2013-01-01,474
"222","2013-01-01","York County","Blair",1,0,2013-01-01,474
"223","2013-01-01","York County","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"224","2013-01-01","York County","Greenbrier",1,0,2013-01-01,474
"225","2013-01-01","York County","Sullivan",1,0,2013-01-01,474
"226","2013-01-01","York County","Hastings County",1,0,2013-01-01,474
"227","2013-01-01","York County","Huntingdon",1,0,2013-01-01,474
"228","2013-01-01","York County","Hancock",1,0,2013-01-01,474
"229","2013-01-01","York County","Clearfield",1,0,2013-01-01,474
"230","2013-01-01","York County","Colchester County",1,0,2013-01-01,474
"231","2013-01-01","York County","Cuyahoga",1,0,2013-01-01,474
"232","2013-01-01","York County","Westmorland County",1,0,2013-01-01,474
"233","2013-01-01","York County","Franklin",1,0,2013-01-01,474
"234","2013-01-01","York County","Ulster",1,0,2013-01-01,474
"235","2013-01-01","York County","Bennington",1,0,2013-01-01,474
"236","2013-01-01","York County","Rowan",1,0,2013-01-01,474
"237","2013-01-01","Maury","Ontonagon",1,1,2013-01-01,474
"238","2013-01-01","Maury","Keweenaw",7,1,2013-01-01,474
"239","2013-01-01","Maury","Maury",1,0,2013-01-01,474
"240","2013-01-01","Maury","York County",1,1,2013-01-01,474
"241","2013-01-01","Maury","Hardin",7,1,2013-01-01,474
"242","2013-01-01","Maury","Hocking",7,1,2013-01-01,474
"243","2013-01-01","Maury","Marion",3,1,2013-01-01,474
"244","2013-01-01","Maury","Houghton",1,0,2013-01-01,474
"245","2013-01-01","Maury","La Côte-De-Gaspé",1,0,2013-01-01,474
"246","2013-01-01","Maury","Phelps",1,0,2013-01-01,474
"247","2013-01-01","Maury","St. Louis County",1,0,2013-01-01,474
"248","2013-01-01","Maury","Taney",1,0,2013-01-01,474
"249","2013-01-01","Maury","Newton",1,0,2013-01-01,474
"250","2013-01-01","Maury","Pulaski",1,0,2013-01-01,474
"251","2013-01-01","Maury","Lewis",1,0,2013-01-01,474
"252","2013-01-01","Maury","Warren",1,0,2013-01-01,474
"253","2013-01-01","Maury","Edmonson",1,0,2013-01-01,474
"254","2013-01-01","Maury","Lee",1,0,2013-01-01,474
"255","2013-01-01","Maury","Rockcastle",1,0,2013-01-01,474
"256","2013-01-01","Maury","Carter",1,0,2013-01-01,474
"257","2013-01-01","Maury","Letcher",1,0,2013-01-01,474
"258","2013-01-01","Maury","Meade",1,0,2013-01-01,474
"259","2013-01-01","Maury","Washington",1,0,2013-01-01,474
"260","2013-01-01","Maury","Haliburton County",1,0,2013-01-01,474
"261","2013-01-01","Maury","Fairfield",1,0,2013-01-01,474
"262","2013-01-01","Maury","Wise",1,0,2013-01-01,474
"263","2013-01-01","Maury","Kings County",1,0,2013-01-01,474
"264","2013-01-01","Maury","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"265","2013-01-01","Maury","Halton Regional Municipality",1,0,2013-01-01,474
"266","2013-01-01","Maury","Oxford",1,0,2013-01-01,474
"267","2013-01-01","Maury","Saint John County",1,0,2013-01-01,474
"268","2013-01-01","Maury","Roanoke",1,0,2013-01-01,474
"269","2013-01-01","Maury","Crawford",1,0,2013-01-01,474
"270","2013-01-01","Maury","Monroe",1,0,2013-01-01,474
"271","2013-01-01","Maury","Montgomery",1,0,2013-01-01,474
"272","2013-01-01","Maury","Smyth",1,0,2013-01-01,474
"273","2013-01-01","Maury","Luzerne",1,0,2013-01-01,474
"274","2013-01-01","Maury","Centre",1,0,2013-01-01,474
"275","2013-01-01","Maury","Putnam",1,0,2013-01-01,474
"276","2013-01-01","Maury","Giles",1,0,2013-01-01,474
