Loglikelihood,theta,ID
-1269.5693548356571,1.9,29
-1269.3772954206431,1.9,30
-1269.1940247811758,1.9,31
-1269.0192510032036,1.9,32
-1268.8526219211562,1.9,33
-1268.6937186520636,1.9,34
-1268.5420662891256,1.9,35
-1268.3971545915265,1.9,36
-1268.258462666794,1.9,37
-1268.125482976056,1.9,38
-1267.9977415749656,1.9,39
-1267.8748129194012,1.9,40
-1267.7563287157634,1.9,41
-1267.6419811906514,1.9,42
-1267.5315216892961,1.9,43
-1267.4247557756737,1.9,44
-1267.321536065933,1.9,45
-1267.2217538968737,1.9,46
-1267.1253307201664,1.9,47
-1267.0322098940057,1.9,48
-1266.9423492924875,1.9,49
-1266.855714972584,1.9,50
-1266.772276032339,1.9,51
-1266.6920005831635,1.9,52
-1266.6148528370645,1.9,53
-1266.5407911480652,1.9,54
-1266.4697669079267,1.9,55
-1266.401724135671,1.9,56
-1266.3365996480375,1.9,57
-1266.2743236631493,1.9,58
-1266.214820734096,1.9,59
-1266.1580108995183,1.9,60
-1266.1038109584572,1.9,61
-1266.0521357842863,1.9,62
-1266.0028996180063,1.9,63
-1265.956017286586,1.9,64
-1265.9114053028509,1.9,65
-1265.8689828129786,1.9,66
-1265.8286723961564,1.9,67
-1265.790400671341,1.9,68
-1265.754098747082,1.9,69
-1265.7197024955497,1.9,70
-1265.6871526753969,1.9,71
-1265.656394913764,1.9,72
-1265.627379566415,1.9,73
-1265.6000614791028,1.9,74
-1265.5743996661056,1.9,75
-1265.5503569311609,1.9,76
-1265.527899448878,1.9,77
-1265.5069963236078,1.9,78
-1265.487619142034,1.9,79
-1265.4697415394146,1.9,80
-1265.4533387784509,1.9,81
-1265.438387362649,1.9,82
-1265.4248646871206,1.9,83
-1265.412748718215,1.9,84
-1265.40201773256,1.9,85
-1265.392650082056,1.9,86
-1265.3846240129033,1.9,87
-1265.3779175174168,1.9,88
-1265.3725082255621,1.9,89
-1265.3683733290793,1.9,90
-1265.365489534758,1.9,91
-1265.3638330435235,1.9,92
-1265.3633795498552,1.9,93
-1265.3641042596594,1.9,94
-1265.3659819208967,1.9,95
-1265.3689868651602,1.9,96
-1265.373093059413,1.9,97
-1265.37827415492,1.9,98
-1265.3845035502793,1.9,99
-1265.3917544457495,1.9,100
-1265.3999999032928,1.9,101
-1265.409212901803,1.9,102
-1265.4193663933756,1.9,103
-1265.4304333507223,1.9,104
-1265.4423868221645,1.9,105
-1265.4551999688038,1.9,106
-1265.4688461118171,1.9,107
-1265.4832987652069,1.9,108
-1265.4985316735242,1.9,109
-1265.514518842324,1.9,110
-1265.531234560886,1.9,111
-1265.5486534372208,1.9,112
-1265.5667504073087,1.9,113
-1265.5855007676512,1.9,114
-1265.60488018295,1.9,115
-1265.6248647060809,1.9,116
-1265.6454307945671,1.9,117
-1265.6665553166888,1.9,118
-1265.6882155668632,1.9,119
-1265.7103892741222,1.9,120
-1265.7330546106077,1.9,121
-1265.7561902000116,1.9,122
-1265.7797751227095,1.9,123
